id;name
225;Россия
3;Центр
1;Москва и область
213;Москва
216;Зеленоград
20674;Троицк
21624;Щербинка
10716;Балашиха
10717;Бронницы
98580;Волоколамский район
10721;Волоколамск
98581;Воскресенский район
10722;Воскресенск
21735;Дзержинский
98582;Дмитровский район
10723;Дмитров
214;Долгопрудный
10725;Домодедово
215;Дубна
98584;Егорьевск городской округ
10727;Егорьевск
20571;Жуковский
98585;Зарайск городской округ
10728;Зарайск
10729;Звенигород
21623;Ивантеевка
98586;Истра городской округ
21627;Дедовск
10731;Истра
98587;Кашира городской округ
10732;Кашира
98588;Клин городской округ
10733;Клин
10734;Коломна
20728;Королёв
100471;Красноармейск
98590;Красногорск городской округ
10735;Красногорск
21745;Нахабино
21647;Краснознаменск
98591;Ленинский район
10719;Видное
21641;Лобня
21635;Лосино-Петровский
98593;Луховицы городской округ
10737;Луховицы
21630;Лыткарино
98594;Люберцы городской округ
10738;Люберцы
98595;Можайский район
10739;Можайск
98596;Мытищи городской округ
10740;Мытищи
98597;Наро-Фоминский городской округ
10715;Апрелевка
10741;Наро-Фоминск
98598;Ногинский район
10742;Ногинск
21656;Старая Купавна
21642;Электроугли
98599;Одинцовский район
21646;Голицыно
21625;Кубинка
10743;Одинцово
10745;Орехово-Зуево
98602;Павловский Посад городской округ
10746;Павловский Посад
10747;Подольск
20576;Протвино
98604;Пушкинский район
10748;Пушкино
217;Пущино
98605;Раменский район
10750;Раменское
21621;Реутов
98606;Рузский городской округ
10751;Руза
98608;Сергиево-Посадский район
10752;Сергиев Посад
21645;Хотьково
10754;Серпухов
98611;Солнечногорский район
10755;Солнечногорск
98607;Ступино городской округ
10756;Ступино
21619;Фрязино
10758;Химки
219;Черноголовка
98614;Чехов городской округ
10761;Чехов
98615;Шатура городской округ
10762;Шатура
98617;Щёлковский район
10765;Щелково
20523;Электросталь
10645;Белгородская область
98697;Алексеевский район
20192;Алексеевка
4;Белгород
10646;Губкин
10649;Старый Оскол
98716;Шебекинский район
20196;Шебекино
98717;Яковлевский район
20587;Строитель
10650;Брянская область
191;Брянск
10653;Клинцы
10658;Владимирская область
98745;Александровский район
10656;Александров
192;Владимир
10661;Гусь-Хрустальный
98750;Киржачский район
10663;Киржач
10664;Ковров
10668;Муром
98755;Петушинский район
37129;Покров
10672;Воронежская область
193;Воронеж
98787;Россошанский район
10681;Россошь
10687;Ивановская область
5;Иваново
10689;Кинешма
10691;Шуя
10693;Калужская область
6;Калуга
98826;Малоярославецкий район
10697;Малоярославец
967;Обнинск
10699;Костромская область
7;Кострома
10705;Курская область
10710;Железногорск
8;Курск
20707;Курчатов
10712;Липецкая область
10713;Елец
9;Липецк
10772;Орловская область
10;Орёл
10776;Рязанская область
10773;Касимов
11;Рязань
10795;Смоленская область
98958;Вяземский район
10782;Вязьма
98959;Гагаринский район
10783;Гагарин
12;Смоленск
98981;Ярцевский район
10801;Ярцево
10802;Тамбовская область
10803;Мичуринск
13;Тамбов
10819;Тверская область
99008;Бологовский район
10805;Бологое
10807;Вышний Волочёк
10811;Кимры
99019;Конаковский район
10812;Конаково
10820;Ржев
14;Тверь
99039;Удомельский район
10824;Удомля
10832;Тульская область
99044;Богородицкий район
20667;Богородицк
10828;Ефремов
10830;Новомосковск
15;Тула
10841;Ярославская область
10837;Переславль-Залесский
10839;Рыбинск
99078;Тутаевский район
21154;Тутаев
99079;Угличский район
10840;Углич
16;Ярославль
17;Северо-Запад
10174;Санкт-Петербург и Ленинградская область
98620;Волховский район
10864;Волхов
98621;Всеволожский район
10865;Всеволожск
98622;Выборгский район
969;Выборг
98623;Гатчинский район
10867;Гатчина
98624;Кингисеппский район
10870;Кингисепп
98625;Киришский район
10871;Кириши
98626;Кировский район
10872;Кировск
98629;Лужский район
10876;Луга
98630;Подпорожский район
10881;Подпорожье
98631;Приозерский район
10883;Приозерск
2;Санкт-Петербург
20293;Колпинский район
26081;Колпино
20297;Пушкинский район
10884;Пушкин
98632;Сланцевский район
10888;Сланцы
10891;Сосновый Бор
98633;Тихвинский район
10892;Тихвин
98634;Тосненский район
10893;Тосно
10842;Архангельская область
20;Архангельск
10846;Котлас
10849;Северодвинск
10853;Вологодская область
21;Вологда
968;Череповец
10857;Калининградская область
22;Калининград
10860;Советск
10897;Мурманская область
10894;Апатиты
101749;Кандалакшский район
10895;Кандалакша
10896;Мончегорск
23;Мурманск
20155;Оленегорск
10176;Ненецкий автономный округ
10902;Нарьян-Мар
10904;Новгородская область
99146;Боровичский район
10906;Боровичи
24;Великий Новгород
99161;Старорусский район
10923;Старая Русса
10926;Псковская область
10928;Великие Луки
25;Псков
10933;Республика Карелия
99193;Кондопожский район
10934;Кондопога
10935;Костомукша
18;Петрозаводск
99203;Сегежский район
10936;Сегежа
110934;Сортавальский район
10937;Сортавала
10939;Республика Коми
10940;Воркута
10941;Инта
99210;Район Печора
10942;Печора
19;Сыктывкар
10944;Усинск
10945;Ухта
40;Поволжье
11070;Кировская область
20020;Вятские Поляны
46;Киров
11071;Кирово-Чепецк
11079;Нижегородская область
11080;Арзамас
20040;Выкса
972;Дзержинск
99555;Кстовский район
20044;Кстово
47;Нижний Новгород
99560;Павловский район
11082;Павлово
11083;Саров
11084;Оренбургская область
11086;Бузулук
11087;Гай
11090;Новотроицк
48;Оренбург
11091;Орск
11095;Пензенская область
11101;Кузнецк
49;Пенза
11108;Пермский край
20237;Березники
20244;Лысьва
50;Пермь
11110;Соликамск
110916;Чайковский район
20243;Чайковский
11111;Республика Башкортостан
99675;Белебеевский район
20714;Белебей
99677;Белорецкий район
20259;Белорецк
99694;Ишимбайский район
20718;Ишимбай
11113;Кумертау
99703;Мелеузовский район
20715;Мелеуз
11114;Нефтекамск
20235;Октябрьский
11115;Салават
20716;Сибай
11116;Стерлитамак
99712;Туймазинский район
20717;Туймазы
172;Уфа
99714;Учалинский район
20680;Учалы
11077;Республика Марий Эл
20721;Волжск
41;Йошкар-Ола
11117;Республика Мордовия
99737;Рузаевский район
20010;Рузаевка
42;Саранск
11119;Республика Татарстан
11121;Альметьевск
11122;Бугульма
43;Казань
236;Набережные Челны
11127;Нижнекамск
11131;Самарская область
11132;Жигулёвск
51;Самара
11139;Сызрань
240;Тольятти
11146;Саратовская область
99817;Балаковский район
11143;Балаково
99818;Балашовский район
11144;Балашов
194;Саратов
99850;Энгельсский район
11147;Энгельс
11148;Удмуртская Республика
11149;Воткинск
11150;Глазов
44;Ижевск
11152;Сарапул
11153;Ульяновская область
11155;Димитровград
195;Ульяновск
11156;Чувашская Республика
37133;Новочебоксарск
45;Чебоксары
20078;Шумерля
26;Юг
10946;Астраханская область
37;Астрахань
99221;Ахтубинский район
20167;Ахтубинск
10950;Волгоградская область
38;Волгоград
10951;Волжский
10959;Камышин
10965;Михайловка
10981;Урюпинск
10995;Краснодарский край
1107;Анапа
10987;Армавир
99269;Белореченский район
10988;Белореченск
10990;Геленджик
99274;Ейский район
10993;Ейск
99275;Кавказский район
10996;Кропоткин
35;Краснодар
99281;Крымский район
10997;Крымск
970;Новороссийск
99293;Славянский район
20704;Славянск-на-Кубани
239;Сочи
99297;Тимашевский район
21141;Тимашевск
99298;Тихорецкий район
11002;Тихорецк
99299;Туапсинский район
1058;Туапсе
11004;Республика Адыгея
1093;Майкоп
11015;Республика Калмыкия
1094;Элиста
11029;Ростовская область
11030;Азов
99411;Белокалитвинский район
11034;Белая Калитва
11036;Волгодонск
11043;Каменск-Шахтинский
238;Новочеркасск
39;Ростов-на-Дону
971;Таганрог
11053;Шахты
59;Сибирь
11235;Алтайский край
197;Барнаул
975;Бийск
11240;Заринск
11251;Рубцовск
11266;Иркутская область
11256;Ангарск
976;Братск
63;Иркутск
100109;Нижнеудинский район
11268;Нижнеудинск
100112;Тайшетский район
11270;Тайшет
11271;Тулун
11272;Усолье-Сибирское
11273;Усть-Илимск
100116;Усть-Кутский район
20097;Усть-Кут
11274;Черемхово
11282;Кемеровская область
11276;Анжеро-Судженск
11277;Белово
64;Кемерово
11283;Киселёвск
11285;Ленинск-Кузнецкий
11287;Междуреченск
11288;Мыски
237;Новокузнецк
11292;Полысаево
11291;Прокопьевск
11299;Юрга
11309;Красноярский край
11302;Ачинск
20086;Железногорск
20088;Зеленогорск
62;Красноярск
11310;Минусинск
11311;Норильск
11316;Новосибирская область
20100;Искитим
65;Новосибирск
11318;Омская область
66;Омск
10231;Республика Алтай
11319;Горно-Алтайск
10233;Республика Тыва
11340;Республика Хакасия
1095;Абакан
11353;Томская область
11351;Северск
11352;Стрежевой
67;Томск
73;Дальний Восток
11375;Амурская область
11374;Белогорск
77;Благовещенск
11387;Свободный
11391;Тында
10243;Еврейская автономная область
21949;Забайкальский край
68;Чита
11398;Камчатский край
78;Петропавловск-Камчатский
11403;Магаданская область
79;Магадан
11409;Приморский край
11405;Арсеньев
11406;Артём
75;Владивосток
11411;Дальнегорск
974;Находка
11426;Уссурийск
11330;Республика Бурятия
11327;Северобайкальск
198;Улан-Удэ
11443;Республика Саха Якутия
101987;Нерюнгринский район
11437;Нерюнгри
74;Якутск
11450;Сахалинская область
80;Южно-Сахалинск
11457;Хабаровский край
100398;Амурский район
11451;Амурск
11453;Комсомольск-на-Амуре
76;Хабаровск
10251;Чукотский автономный округ
977;Республика Крым
11471;Алушта
28892;Армянск
24696;Бахчисарайский район
27217;Бахчисарай
27555;Джанкой
11463;Евпатория
11464;Керчь
27693;Красноперекопск
24702;Ленинский район
28786;Щёлкино
20556;Саки
959;Севастополь
146;Симферополь
11472;Судак
11469;Феодосия
11470;Ялта
102444;Северный Кавказ
11013;Кабардино-Балкарская Республика
30;Нальчик
11020;Карачаево-Черкесская Республика
1104;Черкесск
11010;Республика Дагестан
11006;Буйнакск
11007;Дербент
21521;Избербаш
11008;Каспийск
11009;Кизляр
28;Махачкала
11011;Хасавюрт
11012;Республика Ингушетия
1092;Назрань
11021;Республика Северная Осетия — Алания
33;Владикавказ
11069;Ставропольский край
99456;Будённовский район
11055;Будённовск
11056;Георгиевск
11057;Ессентуки
11062;Кисловодск
11063;Минеральные Воды
11064;Невинномысск
11067;Пятигорск
36;Ставрополь
11024;Чеченская Республика
1106;Грозный
52;Урал
11158;Курганская область
53;Курган
11159;Шадринск
11162;Свердловская область
11160;Асбест
29397;Берёзовский
20720;Верхняя Пышма
11161;Верхняя Салда
54;Екатеринбург
11164;Каменск-Уральский
20234;Качканар
11165;Краснотурьинск
20691;Красноуфимск
11166;Кушва
11167;Лесной
20654;Невьянск
11168;Нижний Тагил
11169;Нижняя Тура
11170;Новоуральск
11171;Первоуральск
21726;Полевской
20224;Ревда
20684;Реж
20672;Североуральск
11172;Серов
11176;Тюменская область
11173;Ишим
11175;Тобольск
55;Тюмень
11178;Ялуторовск
11193;Ханты-Мансийский автономный округ - Югра
11180;Когалым
11181;Лангепас
11182;Мегион
11184;Нефтеюганск
1091;Нижневартовск
11186;Нягань
11188;Пыть-Ях
11189;Радужный
973;Сургут
11192;Урай
57;Ханты-Мансийск
11177;Югорск
11225;Челябинская область
11200;Верхний Уфалей
11202;Златоуст
11207;Копейск
235;Магнитогорск
11212;Миасс
11214;Озёрск
100020;Саткинский район
11217;Сатка
11218;Снежинск
11220;Троицк
11223;Усть-Катав
56;Челябинск
11232;Ямало-Ненецкий автономный округ
11228;Губкинский
100028;Надымский район
11229;Надым
11230;Новый Уренгой
11231;Ноябрьск
58;Салехард
166;СНГ исключая Россию
29386;Абхазия
167;Азербайджан
168;Армения
149;Беларусь
29632;Брест и область
21015;Барановичи
153;Брест
102089;Кобринский район
26010;Кобрин
21510;Пинск
29633;Витебск и область
154;Витебск
26030;Новополоцк
102187;Оршанский район
10276;Орша
102188;Полоцкий район
10275;Полоцк
29631;Гомель и область
155;Гомель
102103;Жлобинский район
26966;Жлобин
102104;Калинковичский район
102235;Калинковичи
102108;Мозырский район
21274;Мозырь
102112;Речицкий район
26008;Речица
102113;Рогачёвский район
26027;Рогачёв
102114;Светлогорский район
26004;Светлогорск
29634;Гродно и область
102118;Волковысский район
26923;Волковыск
10274;Гродно
102125;Лидский район
21144;Лида
102127;Новогрудский район
26836;Новогрудок
102131;Слонимский район
26005;Слоним
102132;Сморгонский район
26017;Сморгонь
29630;Минск и область
102156;Борисовский район
21193;Борисов
26034;Жодино
157;Минск
102165;Молодечненский район
26001;Молодечно
102169;Слуцкий район
26951;Слуцк
102170;Солигорский район
26003;Солигорск
29629;Могилёв и область
20729;Бобруйск
102138;Горецкий район
26774;Горки
158;Могилёв
102149;Осиповичский район
26012;Осиповичи
159;Казахстан
29414;Актау и Мангистауская область
29404;Актобе и область
29406;Алматы и область
162;Алматы
10303;Талдыкорган
29403;Астана и Акмолинская область
163;Астана
20809;Кокшетау
29407;Атырау и область
29408;Восточно-Казахстанская область
165;Семей
10306;Усть-Каменогорск
29410;Западно-Казахстанская область
29411;Караганда и область
29412;Костанай и область
29413;Кызылорда и область
29415;Павлодар и область
29416;Северо-Казахстанская область
29409;Тараз и Жамбылская область
29417;Южно-Казахстанская область
207;Киргизия
208;Молдова
209;Таджикистан
170;Туркменистан
171;Узбекистан
187;Украина
20545;Винница и область
963;Винница
20537;Днепр и область
141;Днепр
21775;Каменское
10347;Кривой Рог
21773;Никополь
28401;Павлоград
20536;Донецк и область
21774;Горловка
142;Донецк
20554;Краматорск
24876;Макеевка
10366;Мариуполь
20547;Житомир и область
20539;Запорожье и область
960;Запорожье
20532;Ивано-Франковск и область
20544;Киев и область
10369;Белая Церковь
143;Киев
20548;Кропивницкий и Кировоградская область
20540;Луганск и область
24885;Алчевск
222;Луганск
24893;Северодонецк
20550;Луцк и Волынская область
20529;Львов и область
144;Львов
20543;Николаев и область
148;Николаев
20541;Одесса и область
145;Одесса
20549;Полтава и область
21609;Кременчуг
964;Полтава
20534;Ровно и область
20552;Сумы и область
965;Сумы
20531;Тернополь и область
20530;Ужгород и Закарпатская область
20538;Харьков и область
147;Харьков
20542;Херсон и область
962;Херсон
20535;Хмельницкий и область
961;Хмельницкий
20546;Черкассы и область
20551;Чернигов и область
29053;Нежин
20533;Черновцы и область
111;Европа
113;Австрия
114;Бельгия
115;Болгария
102;Великобритания
116;Венгрия
96;Германия
246;Греция
203;Дания
204;Испания
205;Италия
20574;Кипр
206;Латвия
117;Литва
118;Нидерланды
119;Норвегия
120;Польша
10074;Португалия
10077;Румыния
180;Сербия
121;Словакия
122;Словения
983;Турция
103668;Провинция Агры
103669;Провинция Адана
103670;Провинция Адыяман
103671;Провинция Айдын
103672;Провинция Аксарай
103673;Провинция Амасья
103674;Провинция Анкара
103675;Провинция Анталья
103676;Провинция Ардахан
103677;Провинция Артвин
103678;Провинция Афьонкарахисар
103679;Провинция Байбурт
103680;Провинция Балыкесир
103681;Провинция Бартын
103682;Провинция Батман
103683;Провинция Биледжик
103684;Провинция Бингёль
103685;Провинция Битлис
103686;Провинция Болу
103687;Провинция Бурдур
103688;Провинция Бурса
103689;Провинция Ван
103690;Провинция Газиантеп
103691;Провинция Гиресун
103692;Провинция Гюмюшхане
103693;Провинция Денизли
103694;Провинция Диярбакыр
103695;Провинция Дюздже
103696;Провинция Зонгулдак
103697;Провинция Измир
103698;Провинция Йозгат
103699;Провинция Кайсери
103700;Провинция Карабюк
103701;Провинция Караман
103702;Провинция Карс
103703;Провинция Кастамону
103704;Провинция Кахраманмараш
103705;Провинция Килис
103706;Провинция Коджаэли
103707;Провинция Конья
103708;Провинция Кыркларели
103709;Провинция Кыршехир
103710;Провинция Кырыккале
103711;Провинция Кютахья
103712;Провинция Малатья
103713;Провинция Маниса
103714;Провинция Мардин
103715;Провинция Мерсин
103716;Провинция Мугла
103717;Провинция Муш
103718;Провинция Невшехир
103719;Провинция Нигде
103720;Провинция Орду
103721;Провинция Османие
103722;Провинция Ризе
103723;Провинция Сакарья
103724;Провинция Самсун
103725;Провинция Сивас
103726;Провинция Сиирт
103727;Провинция Синоп
103728;Провинция Стамбул
103729;Провинция Текирдаг
103730;Провинция Токат
103731;Провинция Трабзон
103732;Провинция Тунджели
103733;Провинция Ушак
103734;Провинция Хаккяри
103735;Провинция Хатай
103736;Провинция Чанаккале
103737;Провинция Чанкыры
103738;Провинция Чорум
103739;Провинция Шанлыурфа
103740;Провинция Ширнак
103741;Провинция Ыгдыр
103742;Провинция Ыспарта
103743;Провинция Эдирне
103744;Провинция Элязыг
103745;Провинция Эрзинджан
103746;Провинция Эрзурум
103747;Провинция Эскишехир
103748;Провинция Ялова
123;Финляндия
124;Франция
10083;Хорватия
21610;Черногория
125;Чехия
126;Швейцария
127;Швеция
179;Эстония
183;Азия
169;Грузия
181;Израиль
994;Индия
20975;Камбоджа
134;Китай
210;Объединённые Арабские Эмираты
995;Таиланд
135;Южная Корея
137;Япония
241;Африка
1056;Египет
10002;Северная Америка
95;Канада
84;США
10003;Южная Америка
93;Аргентина
94;Бразилия
138;Австралия и Океания
211;Австралия
139;Новая Зеландия